Instruments,Entry Timestamp,Entry Price,Exit Timestamp,Exit Price,Quantity,Lot Size,PnL per Lot,Cost per Lot,Net PnL per Lot,Exit Reason,Nearest Expiry Date,Days to Expiry,Expiry Day Flag,Month,Hold Time,Cumulative Capital
"21700PE, 21750CE",2024-01-17 12:15:00,170.9425,2024-01-17 12:20:00,158.772,2,75,-912.7874999999991,25.641375,-938.4288749999992,Stop Loss Hit,18JAN24,1,False,2024-01,5.0,202095.343475
"21650PE, 21700CE",2024-01-17 13:01:00,171.094,2024-01-17 13:08:00,164.226,2,75,-515.0999999999997,25.664099999999998,-540.7640999999994,Trend Reversal,18JAN24,1,False,2024-01,7.0,201554.579375
"21650PE, 21700CE",2024-01-17 13:31:00,167.3065,2024-01-17 13:42:00,154.328,2,75,-973.3874999999987,25.095974999999996,-998.4834749999986,Stop Loss Hit,18JAN24,1,False,2024-01,11.0,200556.09590000001
"21550PE, 21600CE",2024-01-17 14:57:00,142.5615,2024-01-17 15:07:00,134.8855,2,75,-575.6999999999997,21.384225,-597.0842249999997,Trend Reversal,18JAN24,1,False,2024-01,10.0,199959.01167500002
"21350PE, 21400CE",2024-01-18 09:50:00,84.739,2024-01-18 09:53:00,103.3735,2,75,1397.5875000000008,12.71085,1384.8766500000008,Profit Target Hit,18JAN24,0,True,2024-01,3.0,201343.888325
"21350PE, 21400CE",2024-01-18 10:06:00,87.7185,2024-01-18 10:18:00,81.507,2,75,-465.8624999999997,13.157775,-479.02027499999986,Stop Loss Hit,18JAN24,0,True,2024-01,12.0,200864.86805000002
"21450CE, 21400PE",2024-01-18 10:10:00,77.77000000000001,2024-01-18 10:28:00,71.8615,2,75,-443.1374999999992,11.665499999999998,-454.8029999999992,Stop Loss Hit,18JAN24,0,True,2024-01,18.0,201467.345675
"21400CE, 21400PE",2024-01-18 10:10:00,105.03999999999999,2024-01-18 11:42:00,84.739,2,75,1522.575,15.755999999999998,1506.819,Profit Target Hit,18JAN24,0,True,2024-01,92.0,200190.367325
"21400CE, 21450PE",2024-01-18 10:21:00,126.654,2024-01-18 10:31:00,116.9075,2,75,-730.9875000000003,18.9981,-749.9856000000004,Stop Loss Hit,18JAN24,0,True,2024-01,10.0,200114.88245
"21450CE, 21400PE",2024-01-18 10:29:00,72.72,2024-01-18 10:31:00,66.357,2,75,-477.2249999999995,10.908000000000001,-488.13299999999947,Stop Loss Hit,18JAN24,0,True,2024-01,2.0,200979.212675
"21400CE, 21450PE",2024-01-18 10:32:00,116.857,2024-01-18 10:46:00,113.12,2,75,-280.2750000000002,17.528550000000003,-297.8035500000002,Trend Reversal,18JAN24,0,True,2024-01,14.0,199817.0789
"21450CE, 21400PE",2024-01-18 10:32:00,66.761,2024-01-18 10:47:00,61.61,2,75,-386.3250000000002,10.01415,-396.33915000000025,Stop Loss Hit,18JAN24,0,True,2024-01,15.0,200582.873525
"21500CE, 21450PE",2024-01-18 10:48:00,66.96300000000001,2024-01-18 10:57:00,61.5595,2,75,-405.2624999999998,10.04445,-415.3069499999998,Stop Loss Hit,18JAN24,0,True,2024-01,9.0,200167.566575
"21450CE, 21500PE",2024-01-18 10:50:00,114.18050000000001,2024-01-18 11:15:00,105.5955,2,75,-643.8750000000011,17.127075000000005,-661.0020750000011,Stop Loss Hit,18JAN24,0,True,2024-01,25.0,199156.076825
"21500CE, 21450PE",2024-01-18 10:59:00,60.095000000000006,2024-01-18 11:12:00,55.701499999999996,2,75,-329.51249999999965,9.01425,-338.52674999999954,Stop Loss Hit,18JAN24,0,True,2024-01,13.0,199829.03982499999
"21550CE, 21500PE",2024-01-18 11:13:00,74.3865,2024-01-18 11:25:00,68.68,2,75,-427.9875000000002,11.157975,-439.14547500000015,Stop Loss Hit,18JAN24,0,True,2024-01,12.0,199389.89435
"21450CE, 21500PE",2024-01-18 11:16:00,104.7875,2024-01-18 11:29:00,100.04050000000001,2,75,-356.02500000000055,15.718125,-371.74312500000053,Trend Reversal,18JAN24,0,True,2024-01,13.0,198784.33370000002
"21550CE, 21500PE",2024-01-18 11:26:00,71.003,2024-01-18 11:32:00,65.0945,2,75,-443.13749999999965,10.65045,-453.7879499999997,Stop Loss Hit,18JAN24,0,True,2024-01,6.0,198936.1064
